/EstablishmentCollection/EstablishmentDetail/BusinessName,/EstablishmentCollection/EstablishmentDetail/BusinessType,/EstablishmentCollection/EstablishmentDetail/BusinessTypeID,/EstablishmentCollection/EstablishmentDetail/FHRSID,/EstablishmentCollection/EstablishmentDetail/FHRSID/#agg,/EstablishmentCollection/EstablishmentDetail/Geocode/Latitude,/EstablishmentCollection/EstablishmentDetail/Geocode/Longitude,/EstablishmentCollection/EstablishmentDetail/LocalAuthorityBusinessID,/EstablishmentCollection/EstablishmentDetail/LocalAuthorityCode,/EstablishmentCollection/EstablishmentDetail/LocalAuthorityEmailAddress,/EstablishmentCollection/EstablishmentDetail/LocalAuthorityName,/EstablishmentCollection/EstablishmentDetail/NewRatingPending,/EstablishmentCollection/EstablishmentDetail/PostCode,/EstablishmentCollection/EstablishmentDetail/RatingKey,/EstablishmentCollection/EstablishmentDetail/RatingValue,/EstablishmentCollection/EstablishmentDetail/SchemeType,/EstablishmentCollection/EstablishmentDetail/Scores/ConfidenceInManagement,/EstablishmentCollection/EstablishmentDetail/Scores/Hygiene,/EstablishmentCollection/EstablishmentDetail/Scores/Structural,/Header/ExtractDate
Derby Brewery Arms,Pub/bar/nightclub,7843,1819939,1819939,53.493385,-2.240402,AC-072024-014623,415,envhealth@manchester.gov.uk,Manchester,FALSE,M8 8PY,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
Dermot Murphy Centre,Hospitals/Childcare/Caring Premises,5,1820772,1820772,53.432526,-2.243867,AC-072024-015645,415,envhealth@manchester.gov.uk,Manchester,FALSE,M20 1FQ,fhrs_5_en-GB,5,FHRS,5,0,5,27/01/2026
Desi Dhaba,Mobile caterer,7846,1821243,1821243,53.4726565,-2.2167359,AC-072024-016203,415,envhealth@manchester.gov.uk,Manchester,FALSE,M12 6DX,fhrs_4_en-GB,4,FHRS,10,0,5,27/01/2026
Desi food point,Restaurant/Cafe/Canteen,1,1821934,1821934,53.4575118,-2.2308909,AC102024-18597,415,envhealth@manchester.gov.uk,Manchester,FALSE,M14 4PW,fhrs_awaitinginspection_en-GB,AwaitingInspection,FHRS,,,,27/01/2026
Desi Hut,Other catering premises,7841,1818348,1818348,53.5359367,-2.2394343,AC-072024-007509,415,envhealth@manchester.gov.uk,Manchester,FALSE,M9 0PF,fhrs_3_en-GB,3,FHRS,10,10,10,27/01/2026
Desi Kitchen,Other catering premises,7841,1817028,1817028,,,AC-072024-005711,415,envhealth@manchester.gov.uk,Manchester,FALSE,,fhrs_5_en-GB,5,FHRS,5,0,0,27/01/2026
Desi Point,Restaurant/Cafe/Canteen,1,1819643,1819643,53.494289,-2.251049,AC-072024-014262,415,envhealth@manchester.gov.uk,Manchester,FALSE,M8 8FX,fhrs_2_en-GB,2,FHRS,10,10,15,27/01/2026
Desi Style also T/as Pizza Station,Takeaway/sandwich shop,7844,1820683,1820683,53.448037,-2.191513,AC-072024-015541,415,envhealth@manchester.gov.uk,Manchester,FALSE,M19 3AR,fhrs_4_en-GB,4,FHRS,10,0,10,27/01/2026
Desi Totka Co,Retailers - other,4613,1894510,1894510,,,AC092025-24370,415,envhealth@manchester.gov.uk,Manchester,FALSE,,fhrs_awaitinginspection_en-GB,AwaitingInspection,FHRS,,,,27/01/2026
Dessert District,Takeaway/sandwich shop,7844,1906844,1906844,53.474661,-2.219344,AC112025-25037,415,envhealth@manchester.gov.uk,Manchester,FALSE,M12 6FA,fhrs_awaitinginspection_en-GB,AwaitingInspection,FHRS,,,,27/01/2026
Dessert Roses,Other catering premises,7841,1763609,1763609,,,AC092024-18371,415,envhealth@manchester.gov.uk,Manchester,FALSE,,fhrs_3_en-GB,3,FHRS,10,10,5,27/01/2026
Dessert Stop,Takeaway/sandwich shop,7844,1789621,1789621,53.4922019,-2.2190961,AC122024-19532,415,envhealth@manchester.gov.uk,Manchester,FALSE,M40 7PS,fhrs_5_en-GB,5,FHRS,5,5,5,27/01/2026
DESSERT THERAPY,Takeaway/sandwich shop,7844,1821797,1821797,,,AC092024-17867,415,envhealth@manchester.gov.uk,Manchester,FALSE,,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
Desserts2u,Other catering premises,7841,1849411,1849411,,,AC062025-22830,415,envhealth@manchester.gov.uk,Manchester,FALSE,,fhrs_awaitinginspection_en-GB,AwaitingInspection,FHRS,,,,27/01/2026
Destiny Desserts,Restaurant/Cafe/Canteen,1,1816601,1816601,53.4415038,-2.1897203,AC-072024-005206,415,envhealth@manchester.gov.uk,Manchester,FALSE,M19 3WN,fhrs_2_en-GB,2,FHRS,10,10,15,27/01/2026
Detroit Slims,Restaurant/Cafe/Canteen,1,1821794,1821794,,,AC082024-17811,415,envhealth@manchester.gov.uk,Manchester,FALSE,M1 7FS,fhrs_5_en-GB,5,FHRS,5,5,5,27/01/2026
Dev Newsagents,Retailers - other,4613,1821306,1821306,53.450271,-2.229573,AC-072024-016291,415,envhealth@manchester.gov.uk,Manchester,FALSE,M14 7PT,fhrs_5_en-GB,5,FHRS,5,0,5,27/01/2026
Devonshire House,Hospitals/Childcare/Caring Premises,5,1817062,1817062,53.4669927,-2.2163395,AC-072024-005756,415,envhealth@manchester.gov.uk,Manchester,FALSE,M12 4BB,fhrs_5_en-GB,5,FHRS,0,5,5,27/01/2026
DEXTER'S,Retailers - other,4613,1821667,1821667,53.4532094,-2.2429148,AC072024-16872,415,envhealth@manchester.gov.uk,Manchester,FALSE,M14 4RT,fhrs_3_en-GB,3,FHRS,10,10,10,27/01/2026
DGHNT,Takeaway/sandwich shop,7844,1817496,1817496,,,AC-072024-006265,415,envhealth@manchester.gov.uk,Manchester,FALSE,,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
DHL Service Centre,Restaurant/Cafe/Canteen,1,1817370,1817370,53.476369,-2.231688,AC-072024-006113,415,envhealth@manchester.gov.uk,Manchester,FALSE,M1 2PN,fhrs_5_en-GB,5,FHRS,5,5,5,27/01/2026
Diablesse Rum,Manufacturers/packers,7839,1831004,1831004,,,AC032025-20898,415,envhealth@manchester.gov.uk,Manchester,FALSE,,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
Diamond Lodge,Hotel/bed & breakfast/guest house,7842,1818985,1818985,53.462483,-2.184544,AC-072024-013484,415,envhealth@manchester.gov.uk,Manchester,FALSE,M18 7BA,fhrs_4_en-GB,4,FHRS,10,0,5,27/01/2026
Dickenson Hotel,Hospitals/Childcare/Caring Premises,5,1819049,1819049,53.455728,-2.203911,AC-072024-013559,415,envhealth@manchester.gov.uk,Manchester,FALSE,M13 0NR,fhrs_4_en-GB,4,FHRS,10,5,5,27/01/2026
Didi's Kitchen,Takeaway/sandwich shop,7844,1820998,1820998,53.458732,-2.162163,AC-072024-015920,415,envhealth@manchester.gov.uk,Manchester,FALSE,M18 7JD,fhrs_1_en-GB,1,FHRS,20,15,15,27/01/2026
Didsbury CE Primary School,School/college/university,7845,1817939,1817939,53.415905,-2.230953,AC-072024-006793,415,envhealth@manchester.gov.uk,Manchester,FALSE,M20 6RL,fhrs_5_en-GB,5,FHRS,5,0,5,27/01/2026
Didsbury Childminding,Hospitals/Childcare/Caring Premises,5,1819621,1819621,53.407532,-2.223671,AC-072024-014238,415,envhealth@manchester.gov.uk,Manchester,FALSE,M20 5NF,fhrs_5_en-GB,5,FHRS,5,0,5,27/01/2026
Didsbury Childminding at Broad Oak,Hospitals/Childcare/Caring Premises,5,1821842,1821842,,,AC092024-18117,415,envhealth@manchester.gov.uk,Manchester,FALSE,M20 5QB,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
Didsbury Golf Club,Pub/bar/nightclub,7843,1820717,1820717,53.4108189,-2.2426286,AC-072024-015581,415,envhealth@manchester.gov.uk,Manchester,FALSE,M22 4NQ,fhrs_4_en-GB,4,FHRS,10,5,5,27/01/2026
Didsbury Good Neighbours Cafe,Restaurant/Cafe/Canteen,1,1817384,1817384,53.415314,-2.22949,AC-072024-006127,415,envhealth@manchester.gov.uk,Manchester,FALSE,M20 6WH,fhrs_5_en-GB,5,FHRS,5,0,5,27/01/2026
Didsbury High School,School/college/university,7845,1820438,1820438,53.4294325,-2.2506705,AC-072024-015259,415,envhealth@manchester.gov.uk,Manchester,FALSE,M20 2ET,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
Didsbury House Hotel,Hotel/bed & breakfast/guest house,7842,1821171,1821171,53.41184,-2.227169,AC-072024-016122,415,envhealth@manchester.gov.uk,Manchester,FALSE,M20 5LJ,fhrs_5_en-GB,5,FHRS,5,5,5,27/01/2026
Didsbury Local,Retailers - other,4613,1819610,1819610,53.42140961,-2.242794991,AC-072024-014227,415,envhealth@manchester.gov.uk,Manchester,FALSE,M20 2PN,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
Didsbury News,Retailers - other,4613,1820724,1820724,,,AC-072024-015588,415,envhealth@manchester.gov.uk,Manchester,FALSE,M20 0RE,fhrs_4_en-GB,4,FHRS,5,0,10,27/01/2026
Didsbury Pharmacy,Retailers - other,4613,1818286,1818286,53.4188576,-2.2321111,AC-072024-007329,415,envhealth@manchester.gov.uk,Manchester,FALSE,M20 2DN,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
Didsbury Service Station also T/as Londis Didsbury,Retailers - other,4613,1818908,1818908,53.415805,-2.231539,AC-072024-013375,415,envhealth@manchester.gov.uk,Manchester,FALSE,M20 6RN,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
Didsbury Sports Bar,Restaurant/Cafe/Canteen,1,1870706,1870706,53.4123185,-2.2388609,AC072025-23225,415,envhealth@manchester.gov.uk,Manchester,FALSE,M20 2RU,fhrs_5_en-GB,5,FHRS,0,5,5,27/01/2026
Didsbury Tiffin,Other catering premises,7841,1816932,1816932,,,AC-072024-005594,415,envhealth@manchester.gov.uk,Manchester,FALSE,,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
Didsbury Village Day Nursery,Hospitals/Childcare/Caring Premises,5,1819071,1819071,53.418873,-2.230006,AC-072024-013589,415,envhealth@manchester.gov.uk,Manchester,FALSE,M20 6BB,fhrs_5_en-GB,5,FHRS,5,0,5,27/01/2026
Didsbury Wholefoods,Retailers - other,4613,1839359,1839359,53.4180371,-2.2334157,AC052025-22295,415,envhealth@manchester.gov.uk,Manchester,FALSE,M20 6TW,fhrs_5_en-GB,5,FHRS,5,0,5,27/01/2026
Diecast,Restaurant/Cafe/Canteen,1,1816719,1816719,53.4806449,-2.2275501,AC-072024-005348,415,envhealth@manchester.gov.uk,Manchester,FALSE,M1 2JQ,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
Diet 121 with Lisa,Retailers - other,4613,1819564,1819564,53.5177472,-2.2422873,AC-072024-014163,415,envhealth@manchester.gov.uk,Manchester,FALSE,M8 5FB,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
Dilal Foods,Retailers - other,4613,1818683,1818683,53.455313,-2.199587,AC-072024-013059,415,envhealth@manchester.gov.uk,Manchester,FALSE,M13 0SF,fhrs_4_en-GB,4,FHRS,5,5,10,27/01/2026
Dills Convenience Store,Retailers - other,4613,1820125,1820125,53.4560737,-2.1592899,AC-072024-014872,415,envhealth@manchester.gov.uk,Manchester,FALSE,M18 7JH,fhrs_5_en-GB,5,FHRS,5,0,5,27/01/2026
Dim Sum Su,Other catering premises,7841,1820209,1820209,53.4680859,-2.217379,AC-072024-014966,415,envhealth@manchester.gov.uk,Manchester,FALSE,M12 4AH,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
Dimitris Deansgate,Restaurant/Cafe/Canteen,1,1819400,1819400,53.47618484,-2.251288891,AC-072024-013966,415,envhealth@manchester.gov.uk,Manchester,FALSE,M3 4FH,fhrs_5_en-GB,5,FHRS,5,5,5,27/01/2026
Dimobi Children Disability Trust,Retailers - other,4613,1817638,1817638,53.4922166,-2.1954734,AC-072024-006432,415,envhealth@manchester.gov.uk,Manchester,FALSE,M40 2XP,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
DimzKitchen Ltd,Other catering premises,7841,1894502,1894502,,,AC092025-24319,415,envhealth@manchester.gov.uk,Manchester,FALSE,,fhrs_awaitinginspection_en-GB,AwaitingInspection,FHRS,,,,27/01/2026
Dinamiah Hamper and Sweet Store,Retailers - other,4613,1870813,1870813,53.5247563,-2.2037024,AC082025-23683,415,envhealth@manchester.gov.uk,Manchester,FALSE,M9 7GQ,fhrs_5_en-GB,5,FHRS,5,0,0,27/01/2026
Dine at Mine,Mobile caterer,7846,1816888,1816888,53.502643,-2.249199,AC-072024-005542,415,envhealth@manchester.gov.uk,Manchester,FALSE,M7 4YG,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
Dine Contract Catering,Other catering premises,7841,1818633,1818633,53.365597,-2.239426,AC-072024-012991,415,envhealth@manchester.gov.uk,Manchester,FALSE,M22 5XB,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
Dine in Desserts,Takeaway/sandwich shop,7844,1821717,1821717,53.4955925,-2.2368548,AC072024-17252,415,envhealth@manchester.gov.uk,Manchester,FALSE,M8 8RE,fhrs_awaitinginspection_en-GB,AwaitingInspection,FHRS,,,,27/01/2026
Dinner with P,Other catering premises,7841,1818421,1818421,,,AC-072024-007618,415,envhealth@manchester.gov.uk,Manchester,FALSE,,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
Direct Fisheries,Retailers - other,4613,1818919,1818919,53.483958,-2.239279,AC-072024-013392,415,envhealth@manchester.gov.uk,Manchester,FALSE,M4 3AH,fhrs_5_en-GB,5,FHRS,5,5,0,27/01/2026
Directors Box Manchester,Pub/bar/nightclub,7843,1819581,1819581,53.479593,-2.242012,AC-072024-014191,415,envhealth@manchester.gov.uk,Manchester,FALSE,M2 4AA,fhrs_5_en-GB,5,FHRS,5,0,5,27/01/2026
DIRTY GRAMS,Takeaway/sandwich shop,7844,1906959,1906959,53.474661,-2.219344,AC122025-25531,415,envhealth@manchester.gov.uk,Manchester,FALSE,M12 6FA,fhrs_awaitinginspection_en-GB,AwaitingInspection,FHRS,,,,27/01/2026
Dirty Martini,Restaurant/Cafe/Canteen,1,1819712,1819712,53.47840118,-2.248891115,AC-072024-014336,415,envhealth@manchester.gov.uk,Manchester,FALSE,M2 5QR,fhrs_5_en-GB,5,FHRS,0,0,5,27/01/2026
Dirty O'Sullivans,Pub/bar/nightclub,7843,1906763,1906763,53.4790162,-2.2467075,AC012026-25634,415,envhealth@manchester.gov.uk,Manchester,FALSE,M2 5WA,fhrs_awaitinginspection_en-GB,AwaitingInspection,FHRS,,,,27/01/2026
Discount Booze,Retailers - other,4613,1817798,1817798,53.444024,-2.182265,AC-072024-006629,415,envhealth@manchester.gov.uk,Manchester,FALSE,M19 3LX,fhrs_5_en-GB,5,FHRS,5,5,5,27/01/2026
Dishoom,Restaurant/Cafe/Canteen,1,1819771,1819771,53.48083878,-2.249463081,AC-072024-014399,415,envhealth@manchester.gov.uk,Manchester,FALSE,M3 3BW,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
Disorder,Pub/bar/nightclub,7843,1820489,1820489,53.4842209,-2.2375149,AC-072024-015318,415,envhealth@manchester.gov.uk,Manchester,FALSE,M4 1ES,fhrs_5_en-GB,5,FHRS,5,5,5,27/01/2026
Ditto Coffee,Restaurant/Cafe/Canteen,1,1820660,1820660,53.4759695,-2.2420781,AC-072024-015516,415,envhealth@manchester.gov.uk,Manchester,FALSE,M1 6EQ,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
Ditto Coffee,Restaurant/Cafe/Canteen,1,1817841,1817841,53.48012543,-2.245526075,AC-072024-006677,415,envhealth@manchester.gov.uk,Manchester,FALSE,M2 6LW,fhrs_5_en-GB,5,FHRS,5,0,5,27/01/2026
Diverse Active Living,Hospitals/Childcare/Caring Premises,5,1821565,1821565,53.5000705,-2.20473,AC-072024-016594,415,envhealth@manchester.gov.uk,Manchester,FALSE,M40 8WN,fhrs_4_en-GB,4,FHRS,10,10,0,27/01/2026
Divine Kitchen,Other catering premises,7841,1839374,1839374,,,AC052025-22347,415,envhealth@manchester.gov.uk,Manchester,FALSE,,fhrs_awaitinginspection_en-GB,AwaitingInspection,FHRS,,,,27/01/2026
Divine Mercy RC Primary School,School/college/university,7845,1821277,1821277,53.45025,-2.235461,AC-072024-016251,415,envhealth@manchester.gov.uk,Manchester,FALSE,M14 7SH,fhrs_5_en-GB,5,FHRS,5,0,5,27/01/2026
Dixons Brooklands Academy,School/college/university,7845,1820122,1820122,53.4016111,-2.296316,AC-072024-014869,415,envhealth@manchester.gov.uk,Manchester,FALSE,M23 9BP,fhrs_5_en-GB,5,FHRS,5,5,5,27/01/2026
Dixons Newall Green Academy,School/college/university,7845,1816706,1816706,53.383059,-2.289166,AC-072024-005333,415,envhealth@manchester.gov.uk,Manchester,FALSE,M23 2SX,fhrs_5_en-GB,5,FHRS,5,5,5,27/01/2026
Dixy Chicken,Takeaway/sandwich shop,7844,1816538,1816538,53.49323,-2.2493971,AC-072024-005133,415,envhealth@manchester.gov.uk,Manchester,FALSE,M8 8EL,fhrs_3_en-GB,3,FHRS,10,10,5,27/01/2026
Dixy Chicken,Restaurant/Cafe/Canteen,1,1817739,1817739,53.384595,-2.28614,AC-072024-006562,415,envhealth@manchester.gov.uk,Manchester,FALSE,M23 2DB,fhrs_3_en-GB,3,FHRS,5,10,10,27/01/2026
Dixy Chicken,Restaurant/Cafe/Canteen,1,1820834,1820834,53.4426559,-2.2765033,AC-072024-015725,415,envhealth@manchester.gov.uk,Manchester,FALSE,M21 0AG,fhrs_5_en-GB,5,FHRS,5,5,5,27/01/2026
Dixy Chicken,Restaurant/Cafe/Canteen,1,1816431,1816431,53.47047043,-2.237063885,AC-072024-005002,415,envhealth@manchester.gov.uk,Manchester,FALSE,M1 7DY,fhrs_5_en-GB,5,FHRS,5,5,5,27/01/2026
Dixy Chicken,Takeaway/sandwich shop,7844,1821489,1821489,53.455817,-2.19959,AC-072024-016501,415,envhealth@manchester.gov.uk,Manchester,FALSE,M13 0RQ,fhrs_2_en-GB,2,FHRS,10,15,15,27/01/2026
Dixy Chicken,Takeaway/sandwich shop,7844,1821298,1821298,53.441748,-2.189346,AC-072024-016280,415,envhealth@manchester.gov.uk,Manchester,FALSE,M19 3NP,fhrs_4_en-GB,4,FHRS,5,5,10,27/01/2026
Dixy Chicken,Restaurant/Cafe/Canteen,1,1894610,1894610,53.442478,-2.2191119,AC102025-24757,415,envhealth@manchester.gov.uk,Manchester,FALSE,M14 6JS,fhrs_4_en-GB,4,FHRS,5,5,10,27/01/2026
Dixy Chicken,Takeaway/sandwich shop,7844,1820599,1820599,53.484769,-2.238304,AC-072024-015447,415,envhealth@manchester.gov.uk,Manchester,FALSE,M4 1EZ,fhrs_5_en-GB,5,FHRS,5,5,5,27/01/2026
Dixy Chicken,Restaurant/Cafe/Canteen,1,1817136,1817136,53.5013177,-2.1810983,AC-072024-005847,415,envhealth@manchester.gov.uk,Manchester,FALSE,M40 2JN,fhrs_5_en-GB,5,FHRS,5,5,0,27/01/2026
Dixy Chicken,Restaurant/Cafe/Canteen,1,1831116,1831116,53.51287,-2.2449586,AC042025-21575,415,envhealth@manchester.gov.uk,Manchester,FALSE,M8 5EL,fhrs_awaitinginspection_en-GB,AwaitingInspection,FHRS,,,,27/01/2026
DIXY CHICKEN RUSHOLME,Restaurant/Cafe/Canteen,1,1883920,1883920,53.4576234,-2.2263324,AC092025-23996,415,envhealth@manchester.gov.uk,Manchester,FALSE,M14 5TB,fhrs_5_en-GB,5,FHRS,0,5,5,27/01/2026
DIY & Household,Retailers - other,4613,1819480,1819480,53.441677,-2.2761357,AC-072024-014062,415,envhealth@manchester.gov.uk,Manchester,FALSE,M21 8AD,fhrs_5_en-GB,5,FHRS,5,5,5,27/01/2026
DJKITCHEN1,Other catering premises,7841,1820380,1820380,53.4773618,-2.1876356,AC-072024-015186,415,envhealth@manchester.gov.uk,Manchester,FALSE,M11 2AS,fhrs_4_en-GB,4,FHRS,5,5,10,27/01/2026
Dnata Catering UK Ltd (APPROVED PREMISE),Other catering premises,7841,1819949,1819949,,,AC-072024-014638,415,envhealth@manchester.gov.uk,Manchester,FALSE,M90 5AF,fhrs_5_en-GB,5,FHRS,5,0,5,27/01/2026
Do Eat,Restaurant/Cafe/Canteen,1,1817868,1817868,53.4803973,-2.239319,AC-072024-006714,415,envhealth@manchester.gov.uk,Manchester,FALSE,M1 4AH,fhrs_4_en-GB,4,FHRS,5,10,0,27/01/2026
DOA Foods Limited,Retailers - other,4613,1817600,1817600,53.474007,-2.165626,AC-072024-006389,415,envhealth@manchester.gov.uk,Manchester,FALSE,M11 1DA,fhrs_5_en-GB,5,FHRS,5,5,5,27/01/2026
Dog and Partridge,Pub/bar/nightclub,7843,1849369,1849369,53.417864,-2.231309,AC062025-22719,415,envhealth@manchester.gov.uk,Manchester,FALSE,M20 6RA,fhrs_5_en-GB,5,FHRS,0,0,5,27/01/2026
Dog Bowl,Restaurant/Cafe/Canteen,1,1816872,1816872,53.4741654,-2.2428666,AC-072024-005526,415,envhealth@manchester.gov.uk,Manchester,FALSE,M1 5WW,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
DogHouse Hotel,Pub/bar/nightclub,7843,1821211,1821211,,,AC-072024-016170,415,envhealth@manchester.gov.uk,Manchester,FALSE,M2 2AR,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
Dogtown,Pub/bar/nightclub,7843,1817593,1817593,53.484485,-2.236856,AC-072024-006378,415,envhealth@manchester.gov.uk,Manchester,FALSE,M4 1HP,fhrs_5_en-GB,5,FHRS,5,5,5,27/01/2026
Doh,Other catering premises,7841,1818409,1818409,,,AC-072024-007601,415,envhealth@manchester.gov.uk,Manchester,FALSE,,fhrs_awaitinginspection_en-GB,AwaitingInspection,FHRS,,,,27/01/2026
Dolce Pâtisserie,Restaurant/Cafe/Canteen,1,1817182,1817182,53.478166,-2.241009,AC-072024-005898,415,envhealth@manchester.gov.uk,Manchester,FALSE,M1 4HH,fhrs_4_en-GB,4,FHRS,10,5,0,27/01/2026
Domino's Pizza,Restaurant/Cafe/Canteen,1,1820894,1820894,53.4703654,-2.2354044,AC-072024-015800,415,envhealth@manchester.gov.uk,Manchester,FALSE,M1 7HE,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
Domino's Pizza,Takeaway/sandwich shop,7844,1820573,1820573,53.443891,-2.218774,AC-072024-015418,415,envhealth@manchester.gov.uk,Manchester,FALSE,M14 6LE,fhrs_5_en-GB,5,FHRS,5,0,5,27/01/2026
Domino's Pizza,Restaurant/Cafe/Canteen,1,1820301,1820301,53.442371,-2.279723,AC-072024-015070,415,envhealth@manchester.gov.uk,Manchester,FALSE,M21 9AN,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
Domino's Pizza,Takeaway/sandwich shop,7844,1816804,1816804,53.4185432,-2.2320191,AC-072024-005447,415,envhealth@manchester.gov.uk,Manchester,FALSE,M20 2DN,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
Domino's Pizza,Takeaway/sandwich shop,7844,1816750,1816750,53.473469,-2.177722,AC-072024-005385,415,envhealth@manchester.gov.uk,Manchester,FALSE,M11 2SL,fhrs_5_en-GB,5,FHRS,5,5,0,27/01/2026
Domino's Pizza,Restaurant/Cafe/Canteen,1,1817368,1817368,53.47922516,-2.222814083,AC-072024-006111,415,envhealth@manchester.gov.uk,Manchester,FALSE,M4 7DB,fhrs_5_en-GB,5,FHRS,0,5,5,27/01/2026
Domino's Pizza,Takeaway/sandwich shop,7844,1817151,1817151,53.486075,-2.2362593,AC-072024-005863,415,envhealth@manchester.gov.uk,Manchester,FALSE,M9 4DH,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
Domino's Pizza,Takeaway/sandwich shop,7844,1818638,1818638,53.3792336,-2.2606635,AC-072024-012998,415,envhealth@manchester.gov.uk,Manchester,FALSE,M22 5RG,fhrs_5_en-GB,5,FHRS,5,5,0,27/01/2026
Domis Eat,Restaurant/Cafe/Canteen,1,1821518,1821518,53.4746559,-2.2472701,AC-072024-016536,415,envhealth@manchester.gov.uk,Manchester,FALSE,M1 5LW,fhrs_5_en-GB,5,FHRS,5,5,0,27/01/2026
Domis Eat,Restaurant/Cafe/Canteen,1,1817135,1817135,53.49052435,-2.24468665,AC-072024-005846,415,envhealth@manchester.gov.uk,Manchester,FALSE,M3 1EU,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
Domis Eat,Restaurant/Cafe/Canteen,1,1820526,1820526,53.4792247,-2.2227962,AC-072024-015360,415,envhealth@manchester.gov.uk,Manchester,FALSE,M4 7DB,fhrs_5_en-GB,5,FHRS,0,0,0,27/01/2026
Domis eat St Michaels,Restaurant/Cafe/Canteen,1,1816237,1816237,53.4791493,-2.2475671,AC012025-20124,415,envhealth@manchester.gov.uk,Manchester,FALSE,M2 5ND,fhrs_4_en-GB,4,FHRS,10,0,10,27/01/2026
Dom's Italia,Restaurant/Cafe/Canteen,1,1819494,1819494,53.474988,-2.251869,AC-072024-014078,415,envhealth@manchester.gov.uk,Manchester,FALSE,M3 4LY,fhrs_5_en-GB,5,FHRS,5,5,5,27/01/2026
Domus Italia,Restaurant/Cafe/Canteen,1,1817103,1817103,53.440762,-2.2753168,AC-072024-005806,415,envhealth@manchester.gov.uk,Manchester,FALSE,M21 8BH,fhrs_4_en-GB,4,FHRS,10,5,5,27/01/2026
Domus Italia Didsbury,Restaurant/Cafe/Canteen,1,1820076,1820076,53.418869,-2.232203,AC-072024-014813,415,envhealth@manchester.gov.uk,Manchester,FALSE,M20 2DN,fhrs_5_en-GB,5,FHRS,5,5,0,27/01/2026
Don Marco,Restaurant/Cafe/Canteen,1,1821285,1821285,53.476186,-2.251289,AC-072024-016261,415,envhealth@manchester.gov.uk,Manchester,FALSE,M3 4FH,fhrs_4_en-GB,4,FHRS,5,5,10,27/01/2026
Don Roti,Other catering premises,7841,1818405,1818405,,,AC-072024-007597,415,envhealth@manchester.gov.uk,Manchester,FALSE,,fhrs_awaitinginspection_en-GB,AwaitingInspection,FHRS,,,,27/01/2026
Don Tacos,Restaurant/Cafe/Canteen,1,1816436,1816436,53.45667648,-2.225600004,AC-072024-005008,415,envhealth@manchester.gov.uk,Manchester,FALSE,M14 5TB,fhrs_4_en-GB,4,FHRS,10,5,5,27/01/2026
Don Tacos,Restaurant/Cafe/Canteen,1,1821579,1821579,53.4804572,-2.2363036,AC-072024-016613,415,envhealth@manchester.gov.uk,Manchester,FALSE,M1 1RG,fhrs_5_en-GB,5,FHRS,5,0,5,27/01/2026
Döner Shack,Restaurant/Cafe/Canteen,1,1817936,1817936,53.483154,-2.241377,AC-072024-006789,415,envhealth@manchester.gov.uk,Manchester,FALSE,M4 3AQ,fhrs_5_en-GB,5,FHRS,0,5,0,27/01/2026
DONKIYA,Takeaway/sandwich shop,7844,1787488,1787488,53.4715471,-2.2188695,AC072024-16850,415,envhealth@manchester.gov.uk,Manchester,FALSE,M12 6DA,fhrs_5_en-GB,5,FHRS,5,5,5,27/01/2026
Donnas bakes,Other catering premises,7841,1831090,1831090,,,AC042025-21450,415,envhealth@manchester.gov.uk,Manchester,FALSE,,fhrs_4_en-GB,4,FHRS,10,5,5,27/01/2026
Donner & Dough,Takeaway/sandwich shop,7844,1870753,1870753,53.4590974,-2.1632021,AC072025-23358,415,envhealth@manchester.gov.uk,Manchester,FALSE,M18 7JD,fhrs_awaitinginspection_en-GB,AwaitingInspection,FHRS,,,,27/01/2026
